0.005,151.6
0.01,116.2
0.015,114.5
0.02,105.0
0.025,111.3
0.03,98.8
0.035,108.2
0.04,97.2
0.045,100.3
0.05,108.4
0.055,112.8
0.06,104.9
0.065,100.3
0.07,103.3
0.075,111.5
0.08,99.2
0.085,101.9
0.09,106.6
0.095,101.9
0.1,105.0
0.105,105.1
0.11,104.9
0.115,106.6
0.12,105.0
0.125,106.8
0.13,103.3
0.135,105.1
0.14,97.2
0.145,100.3
0.15,98.9
0.155,103.4
0.16,114.6
0.165,106.5
0.17,98.7
0.175,98.6
0.18,103.2
0.185,100.0
0.19,100.1
0.195,108.0
0.2,115.7
0.205,109.4
0.21,109.6
0.215,96.9
0.22,104.8
0.225,115.7
0.23,117.3
0.235,103.3
0.24,115.7
0.245,106.4
0.25,103.2
